unique_ID,lon,lat
1,26.6652,67.8536
2,25.3457,66.6373
3,26.8505,67.247
4,26.94,67.1522
5,-112.0525,43.5227
6,-89.575,43.355
7,-72.11,42.29
8,-72.18,42.48
9,-89.47,43.38
10,-89.22,43.05
11,-49.16,-16.71
12,-79.35,45.36666667
13,-79.61666667,45.71666667
14,-78,34
15,-77.9,40.8
16,-84.4945,31.264
17,-84.473,31.2212
18,5.5,52.02
19,16.5,60.68333333
20,16.3,60.41
21,-76.5991,35.1103
22,-79.48,34.91
23,-77.99,36.68
24,19.76666667,64.23333333
25,-2.2265,11.318
26,-2.28871,13.6164
27,116.2833333,-21.15
28,116.3666667,-21.325
29,-84.32,35.92
30,13.99,56.3
31,-97.1208,49.8125
32,-97.9478,49.4998
33,-121.5124,45.3033
34,-121.502,45.3086
35,27.2,58.05
36,27.12,58.03
37,9.86,51.35
38,-2.3673,37.1267
39,-2.3697,37.1257
40,-2.7,36.6903
41,-2.696,36.6929
42,80.7031,37.0196
43,80.7021,37.0217
44,80.7052,37.0224
45,80.6988,37.0231
46,172.75,-42.87
47,-105.67,40.28
48,75.85,29.97
49,38.88333333,7.45
50,39.88333333,8.45
51,-76.6555,35.8747
52,-77.6801,35.8941
53,-80.6201,35.6992
54,-77.303,34.823
55,37.81527778,11.64027778
56,-1.05,53.95
57,-81.66666667,33.38333333
58,-71.46527778,46.68916667
59,-71.92611111,45.38
60,17.1075,52.24444444
61,122.39,51.14
62,67.2934,45.0427
63,68.7113,46.1823
64,68.0852,44.9656
65,67.4173,45.1175
66,68.1023,45.0655
67,69.2907,44.2836
68,67.4246,45.0278
69,68.0524,44.9279
70,68.2609,44.947
71,67.2955,45.0412
72,68.0829,44.984
73,68.2713,44.9747
74,4.8,49.9
75,-0.750416667,44.71863889
76,-0.742,44.7211
77,-0.809388889,44.57727778
78,-0.8101,44.5769
79,93.51,28
80,-86.3831,48.7387
81,-86.3711,48.7327
82,-86.3806,48.7288
83,-86.3666,48.7276
84,-71.07,46.69
85,7.213371,48.203658
86,11.854475,50.129226
87,13.180842,56.530817
88,-105.08,40.57
89,114.5193,4.6585
90,-79.08333333,35.96666667
91,-101.166667,77.75
92,172.4833333,-43.63333333
93,16.5,60.81666667
94,-93.58,45.72
95,-93.35,45.43
96,-93.58,45.57
97,-76.5,42.45
98,-105.0799,39.1555
99,-105.0604,39.1189
100,-105.0904,39.1017
101,-105.0367,39.1158
102,-156.7,71.3
103,-99.21,46.39
104,3.85,43.98333333
105,118.5494,45.2435
106,-84.67,75.55
107,-105.7,75.36666667
108,-101,78.2
109,-100.8833333,77.75
110,-84.4,75.33
111,-65.78333333,18.3
112,-65.75,18.28333333
113,-111.0833333,32.21666667
114,-4.7366,57.1407
115,-52.8932,5.1657
116,-52.9121,5.1758
117,-101.7204,38.4042
118,12.667559,48.229482
119,11.136767,48.302158
120,11.681507,49.997398
121,12.358154,49.74359
122,11.48,49.58
123,12.23,49.45
124,11.04,48.17
125,12.44,48.13
126,18.2064,-31.706
127,18.206,-31.705
128,11.6888,-4.1533
129,-48.63333333,-23.03333333
130,-80.53333333,27.36666667
131,-77.83,40.85
132,-83.36,33.93
133,11.23333333,59.63333333
134,-89.46,49.08
135,6.3261,48.7338
136,-103.4374,26.4893
137,-110.2815,30.9688
138,-71.05,-46.5167
139,-101.6376,36.6333
140,-101.5875,36.6021
141,-101.6367,36.5888
142,-101.5999,36.6166
143,-101.6129,36.5912
144,-101.6187,36.6118
145,-101.6189,36.5898
146,-101.6472,36.574
147,-101.6189,36.5972
148,5.291,52.1326
149,-111.479,35.685
150,-111.4731,35.6812
151,-111.4288,35.7177
152,-111.4719,35.3236
153,-111.7342,35.5919
154,-111.8226,35.5011
155,-111.7989,35.5479
156,-111.971,35.5876
157,-111.6285,35.5916
158,-111.5445,35.6192
159,-111.5366,35.5358
160,-111.513,35.584
161,-111.5897,35.6165
162,-111.5298,35.6627
163,-111.6543,35.5931
164,-111.9318,35.5174
165,-111.9292,35.5559
166,-111.9114,35.3146
167,-111.8924,35.309
168,-111.934,35.579
169,-111.9128,35.3302
170,-111.8517,35.3486
171,-111.965,35.4142
172,-111.8073,35.4828
173,-111.751,35.4127
174,-111.7583,35.3963
175,-111.7301,35.3291
176,-111.7314,35.341
177,-111.7848,35.3102
178,-111.733,35.162
179,10.5039,52.7504
180,10.5,52.75
181,-92.2,38.57
182,-113.5,41.52
183,-11.85,42.61666667
184,18.81666667,68.35
185,115.9333333,-31.8
186,-111.0048,32.2163
187,-111.0205,32.2369
188,5.716,34.8731
189,3.925,32.4089
190,3.9466,32.3908
191,2.9419,33.4888
192,3.9124,32.5703
193,3.9254,32.4039
194,3.931,32.4051
195,119.06,27.46
196,-74.4304,40.4608
197,18.2497,-30.4128
198,9.56,51.32
199,-58.7197,-34.1516
200,-58.7091,-34.139
201,-71.9,45.4
202,-1.216666667,46.21666667
203,-147.8333333,65.16666667
204,-157.9166667,70.45
205,-149.5666667,68.75
206,-149.59,68.63
207,-148.7,69.33333333
208,-148.7114,70.3256
209,-149.5666667,64.83333333
210,-157.9166667,65.43333333
211,-157.9166667,65.16666667
212,-156.6666667,71.3
213,-151.7336,68.16666667
214,-122.6233333,44.33666667
215,-121.69,44.91
216,112.525,23.16666667
217,-77.95,40.7
218,103.2333333,29.7
219,-124.00484,45.0568
220,-121.608,43.7432
221,-91.5347,31.7154
222,127.3,45.21
223,111.0166667,44.40833333
224,12.31,50.35
225,-108.693857,40.514141
226,-95.1649,47.1684
227,-48.5995,-23.0225
228,-48.5989,-23.0243
229,-48.72777778,-22.96777778
230,15.79,63.75
231,-149.5666667,68.63333333
232,20.85,68.63333333
233,-119.7908,46.5782
234,-78.979,36.0251
235,-78.9912,36.0291
236,-78.9805,36.0216
237,-78.9974,36.0239
238,-89.41666667,45.63333333
239,79.85,9.15
240,-77.91,40.66
241,-77.96,40.71
242,NA,NA
243,-115.48,50.09
244,-115.8,50.15
245,-75.69,37.42
246,-75.66666667,37.66666667
247,36.143,2.1916
248,36.2652,2.2763
249,-109.9123,49.1008
250,-107.6809139,51.32835644
251,-109.8397,49.029
252,-107.6228,50.3864
253,-107.7828,52.2223
254,-106.7275,51.7463
255,-106.2573,51.8188
256,-107.8172,52.6939
257,-106.2829,52.077
258,-106.7899,52.1391
259,-109.4951,49.5654
260,-109.5,49.7591
261,-107.7897,50.4098
262,-109.5363,49.9261
263,-106.9281,52.5213
264,81.66666667,33.38333333
265,-93.39,45.21
266,-93.2,45.4
267,-65.82,18.32
268,-65.49,18.19
269,4.491,46.0183
270,4.4132,46.086
271,4.4992,46
272,4.4556,46.0745
273,4.5121,46.0447
274,4.4276,46.0997
275,4.4107,46.05
276,-60.2121,-2.594
277,87.7857,44.5583
278,87.8029,44.5384
279,-0.948255,44.493
280,-0.951666667,44.49527778
281,-0.941917,44.4893
282,85.8,25.98333333
283,-106.3256,41.3418
284,-106.2756,41.3707
285,-106.2945,41.3613
286,-106.3144,41.3538
287,-106.2914,41.3605
288,-106.2942,41.353
289,-8.0184,38.5265
290,-8.8189,38.8337
291,145.3131,-42.1433
292,147.5203,-41.2611
293,146.4315,-41.4018
294,146.5149,-41.3744
295,146.521,-41.3915
296,-76.4935,42.4428
297,115.6833333,-31.55
298,-84.2262,46.3382
299,-84.2462,46.3067
300,-88.22972222,41.84138889
301,-88.7,32.37
302,-2,36.08333333
303,-2.166666667,36.9
304,-1.833333333,36.9
305,-4.883333333,37.93333333
306,-6.5,37
307,-5.6,36.35
308,-5.6,36.33333333
309,2.645516,39.641205
310,-75.325,45.99722222
311,-71.67,46.91
312,116.0904,-32.3383
313,116.0882,-32.3426
314,-78.68874,35.718928
315,8.796944444,33.49111111
316,8.739298246,33.38027778
317,9.691388889,33.28472222
318,9.711388889,33.28472222
319,-113.75,53.38333333
320,-113.526789,53.524018
321,76.23,11.47
322,76.61,11.67
323,5.82,50.36
324,-121.58,47.32
325,-106.5931,35.3837
326,-106.596,35.3798
327,-106.6531,35.4248
328,-106.6512,35.4415
329,-106.6305,35.3818
330,-106.6469,35.3985
331,-106.6595,35.4432
332,-106.5923,35.3913
333,-15.41666667,16.3333
334,137.5833333,34.81666667
335,137.2166667,34.86666667
336,136.35,34.6
337,137.05,34.76111111
338,127.5333333,45.38333333
339,129.1083333,48.11666667
340,-118.9632,38.0817
341,91.0407,30.7175
342,-93.5,42.18333333
343,-149.9788,63.5051
344,-149.5889,63.6871
345,-82.367,39.183
346,10.4173,51.6818
347,10.4199,51.6831
348,10.4205,51.685
349,126.640236,45.724023
350,118.1219722,29.24518056
351,-86.6254,39.0646
352,-86.6346,39.0917
353,-86.1494,39.0765
354,-86.5829,39.1146
355,-86.6003,39.0192
356,-86.4628,39.1487
357,-86.5124,39.0397
358,-86.6567,39.1137
359,-16.4591,12.9557
360,-16.7166,12.3502
361,-16.5186,15.3682
362,-16.2646,15.6357
363,4.69,50.69
364,5.01,50.11
365,5.15,50.07
366,5.06,50.09
367,4.59,50.03
368,-84.27,36.02
369,-74.447442,40.500851
370,9.51,51.2
371,-123.9977,48.8113
372,-123.9926,48.8244
373,-81.4666,27.5666
374,-81.46666667,27.56666667
375,-77.9,40.65
376,11.06,60.16
377,-45.97,61.1
378,-45.58,61.06
379,9.55,51.77
380,-89.4434,43.1254
381,-115.4833333,35.1
382,20.3227,-28.6024
383,-115.6333333,34.8
384,-83.59,10.26
385,-80.21,34.58
386,-9.4,39.35
387,-76.297379,42.490765
388,-71.75,43.93333333
389,127.533,45.383
390,85.3785,44.71508333
391,18.71666667,-30.53333333
392,38.1472,-2.3289
393,14.8,48.83
394,24.32,61.8
395,29.83,62.23
396,29.5,62.14
397,24.19,61.48
398,-105.35,40.03
399,-2.8,54.05
400,-70.26666667,-45.68333333
401,18.83833333,68.345
402,-123.22,44.32
403,-123.37,44.53
404,-67.3775,8.8538
405,-98.1754,46.1424
406,-98.1495,46.1398
407,-98.1233,46.1359
408,-98.1599,46.1327
409,-98.1422,46.1327
410,-98.1327,46.1358
411,-98.1998,46.1191
412,-98.1642,46.1421
413,-98.194,46.1271
414,-98.1763,46.1294
415,1.5,43.51666667
416,1.5,43.53
417,-65.7587,18.2795
418,-80,37
419,171.55,-43.5
420,175.8333333,-36.65
421,3.86,43.64
422,3.87139,43.615224
423,8.852777778,45.98611111
424,17.16,4.027777778
425,17.90361111,3.885555556
426,17.17194444,4.020833333
427,-82.835005,34.673834
428,115.0591667,26.74416667
429,135.71667,35.06667
430,135.43,35.04
431,101.9166667,14.5
432,-121.9916667,37.325
433,-98.51,19.27
434,-98.85,19.45
435,23.12,43.1
436,-72.23,-51.56
437,79.95,30.29
438,-111.6244,33.5337
439,-111.6279,33.5543
440,-111.6252,33.5539
441,-111.6227,33.5546
442,-149.4166667,68.63333333
443,-86.6001,30.5701
444,8.311087,47.552784
445,-57.6834,-34.332
446,4.0343,43.7047
447,-94.0635,47.5458
448,-85.03,30.33
449,-82,30
450,-106.7505,32.5362
451,-106.7435,32.5227
452,-106.8507,32.6001
453,-106.7259,32.5444
454,-106.7431,32.568
455,-106.861,32.5931
456,-106.7872,32.687
457,-106.731,32.5458
458,-106.7369,32.4828
459,-106.7515,32.4886
460,-106.7538,32.4709
461,-106.7502,32.528
462,-106.7488,32.5244
463,-106.8411,32.606
464,-106.7415,32.5918
465,-106.8661,32.6745
466,-106.8481,32.6049
467,-106.8435,32.6
468,-71.31666667,7.616666667
469,-104.7666667,40.76666667
470,-104.767,40.817
471,45.2053,10.1225
472,44.122,9.5918
473,-97.4724,38.9677
474,10.38,51.45
475,9.23,52.45
476,10.06,51.34
477,11.51,50.03
478,18.10583333,51.24783333
479,24.35,51.24783333
480,-85.71666667,44.7
481,9.13,55.94
482,14,55.7
483,-155.15,19.2
484,-107.57,35.25
485,-107.34,35.15
486,-81.712025,28.102474
487,-122.5,44
488,-122,47.33
489,-122.3,44
490,80.688,37.0057
491,80.66943333,37.01105
492,80.7226,36.9897
493,80.7162,37
494,80.7279,37.0686
495,80.747,37.049
496,80.7405,37.0594
497,80.72313333,37.08103333
498,-118.1494,36.8162
499,-84.37,31.25
500,149.325,-35.33333333
501,133.51667,47.583
502,111.075,36.6
503,115.5666667,39.85
504,110.8,37.83333333
505,6.37874,45.0347
506,-2.366666667,37.13333333
507,-111.6734,35.2581
508,-92.127,46.7451
509,31.5849,-27.9262
510,31.584,-27.9266
511,31.5841,-27.9255
512,31.5826,-27.9265
513,9.94,51.54
514,14.75,57.13333333
515,13.075,56.675
516,112.58333,23.13333
517,13.75,53.367
518,8.15,47.82
519,-94.6,39.1
520,-96.5,39.17
521,-89.67,46.17
522,109.1421,39.0015
523,109.1415,39.0035
524,109.1431,39.0005
525,91.2,29.4
526,94.18,29.43
527,94.09,29.44
528,93,30
529,93.06,29.58
530,-2.45,54.65
531,-123.1,47.86
532,9.066666667,47.16666667
533,7.416666667,47.225
534,7.766666667,46.71666667
535,7.883333333,47.275
536,8.833333333,46.025
537,-117.1777,34.1864
538,-118.261,34.3055
539,26.03,61.1
540,15.34,64.27
541,25.02,61.55
542,-86.15,43.67
543,-85.795,43.815
544,-85.83,44.38
545,-86.09,43.4
546,-85.5,44.23
547,-83.44,9.35
548,10.3,52.45
549,-65.43,-17.16
550,-83.47,9.34
551,-72.55,-49.23
552,120.02,-1.3
553,11.23333333,52.61666667
554,9.95,53.16666667
555,10.31666667,52.83333333
556,11.26666667,52.4
557,10.19,52.5
558,10.86666667,53.15
559,11.26666667,52.36666667
560,10.23333333,52.98333333
561,11.25,52.61666667
562,11.28333333,52.38333333
563,11.16,52.24
564,11.15,52.37
565,11.17,52.23
566,10.52,53.09
567,10.49,53.07
568,10.81666667,53.11666667
569,11.16,52.22
570,10.14,52.59
571,9.57,53.1
572,11.14,52.37
573,-86.7071,30.494
574,-86.7005,30.4984
575,-86.7023,30.491
576,18.9218,-33.9479
577,149.13,-35.28
578,-116.4728,43.9227
579,135.7166667,35.66666667
580,-36.45,-54.15
581,158.56,-54.36
582,158.95,-54.5
583,-70.9999,-33.0685
584,170.175,-43.335
585,27.0328,-18.6413
586,27.0336,-18.6434
587,88.7,30.95
588,-115.071,51.0211
589,-115.0377,51.0277
590,-115.0765,50.994
591,36.6436,-1.2187
592,85.6912,25.9851
593,85.6879,25.9886
594,85.6804,25.9837
595,116.366127,39.962118
596,120.7166667,42.96666667
597,-117.0053,46.4378
598,-126.8956944,37.35569444
599,126.51,37.19
600,134.2166667,35.53333333
601,117.4166667,5.366666667
602,-103.28,43.26
603,-84.33333333,35.9
604,-111.8,41.75
605,-98.4895,31.0443
606,-97.7632,30.3693
607,-98.48,31.0393
608,-97.6907,30.6707
609,-98.5063,31.0298
610,-98.5052,31.042
611,-97.791,30.2567
612,-98.5042,31.0472
613,-97.863,30.2137
614,-98.4808,31.0395
615,-98.4805,31.0422
616,-98.3417,29.692
617,-99.9155,30.9282
618,-98.5192,29.8353
619,-106.7383,34.2694
620,-106.7848,32.4966
621,-104.6948,40.8853
622,-96.601,31.4995
623,-95.8994,31.9001
624,-99.3993,33.8993
625,148.55,-27.98333333
626,115.81,-31.98
627,23.3172,-25.2608
628,22.9712,-23.95
629,78.03333333,27.16666667
630,-76.15,43.05
631,-57.83833333,-36.03333333
632,-68.036578,-32.395484
633,-68.035831,-32.368527
634,-68.01184,-32.42673
635,91.9,25.56666667
636,91.54,25.34
637,-79.54686667,8.985619444
638,20.25,68.5
639,18.8083,68.3486
640,37.6308,-6.8376
641,37.6276,-6.8376
642,37.6297,-6.8418
643,37.6301,-6.8437
644,37.63333333,-6.8316
645,83.52,21.25
646,-92.12,38.4
647,-92.2,38.67
648,-92.2,38.66666667
649,-48.38,-23.02
650,19.1626,46.8444
651,68.428,37.2826
652,68.3834,37.2453
653,68.3643,37.2618
654,68.3036,37.2211
655,68.5235,37.212
656,68.2879,37.1699
657,68.2853,37.2234
658,138.56293,35.40974
659,138.6965,35.3715
660,142.2163,27.0702
661,133.9476,34.6583
662,139.7452,35.7187
663,139.6448,35.2426
664,130.5506,31.598
665,141.0857,39.943
666,142.3496,43.7521
667,-73.954417,40.632741
668,148.75,-35.38
669,148.45,-35.23
670,151,-33
671,-110.7,50.73332
672,114.0666667,4.233333333
673,113.7,3.65
674,113.6997,3.6506
675,114.0627,4.2361
676,33.4205,-8.8612
677,5.14,50.02
678,5.23,50.03
679,19.05301667,68.35713333
680,-122.17,46.5
681,-122,46
682,-120.03,38.93
683,127.17,37.78
684,116.0485,-32.3511
685,-79.5,34.91666667
686,-79,35
687,-88.95,46.25
688,-88.68333333,47.1
689,-87.9,46.5
690,-87.93333333,46.3
691,-88.65,47.08333333
692,-87.86666667,45.51666667
693,36.5,-1.2
694,7.683333333,60.26666667
695,27.01666667,69.75
696,7.666666667,60.28333333
697,7.35,60.41666667
698,-111.11,37.726
699,-119.5004,46.5566
700,-119.63,46.5327
701,-119.2917,46.4926
702,-119.3672,46.4716
703,22.2,48.88333333
704,135.7722,35.0579
705,135.7693,35.0586
706,76.9905,43.2418
707,108.8166667,18.66666667
708,112.9,22.68333333
709,112.5833333,23.13333333
710,101.4166667,21.68333333
711,114.17265,22.57985
712,101.0166667,24.53333333
713,108.8416667,18.60833333
714,108.8416667,22.65833333
715,140.13,36.1
716,4.31,51.18
717,61.05,56.6
718,66.4,66.65
719,63.68333333,58.05
720,60.15,55
721,30.9,53.38333333
722,-122.5225,37.861
723,115.0581111,26.74141667
724,175.318526,-37.787053
725,175.3166667,-37.78333333
726,78.279,17.5012
727,109.45,26.5
728,10.5,51.06666667
729,138.7661111,36.92222222
730,138.7694444,36.88888889
731,138.7347222,36.84166667
732,19.52,48.36
733,5.6498,52.0796
734,-145.5,65.43333333
735,-145.5,65.41666667
736,-39.16,-14.47
737,-147.8356,64.8589
738,-84.45,42.66666667
739,14.5278,-22.6893
740,16.9966,-22.5925
741,14.8564,-21.2141
742,126.7833333,72.61666667
743,-48.6083,-23.0226
744,-48.6361,-23.077
745,-71.85,44.01666667
746,28.5,62.56
747,-111.554578,34.926581
748,-111.652276,35.177059
749,-104.6206,40.8759
750,-104.6055,40.8634
751,34.85,3.72
752,34.51,3.43
753,1.083333333,8.52
754,36.58333333,7.55
755,19.27,64.7
756,9.35,51.46
757,11.26,51.23
758,11.03,51.25
759,10.03,51.31
760,-121.2256,38.9786
761,-121.2253,38.9817
762,-121.2244,38.9827
763,-121.2267,38.9819
764,-121.2259,38.9822
765,113.01,28.06
766,103.8833333,31.68333333
767,117.5166667,34.34166667
768,114.0666667,42.88333333
769,114.675,42.64166667
770,116.2833333,42.03333333
771,115.2833333,42.4
772,115.2111111,42.43888889
773,115.7833333,42.21666667
774,110.08,27.09
775,122.0166667,30.16666667
776,115.0666667,26.73333333
777,8.247679,49.992522
778,16.956624,47.961229
779,6.1278,51.8243
780,13.8479,44.9347
781,8.2103,50.0135
782,39.258745,44.821401
783,12.8579,46.8932
784,14.2883,46.6442
785,12.8871,46.9158
786,12.8348,47.0438
787,12.7678,47.0483
788,-114.2769,55.1681
789,-114.285,55.162
790,-114.3365,55.1786
791,-114.2816,55.1647
792,9.86,51.73
793,10.235,51.315
794,9.938125,51.538341
795,118.15,27.05
796,9.566666667,51.76666667
797,-119.3333333,46.40555556
798,-119.7342,46.5838
799,-119.7329,46.5836
800,-72.98333333,44.8
801,-72.53,44.31
802,-72.88333333,44.5
803,-72.59,44.48
804,116.2666667,42.03333333
805,83.6697,39.1105
806,87.92,44.37
807,80.72,36.46
808,110.2,39.49
809,104.78,37.45
810,120.69,42.93
811,117.95,49.48
812,115.89,42.86
813,113.3075,28.40777778
814,113.17,28.24
815,114.4530556,24.56847222
816,80.72883611,37.01565833
817,117.9666667,26.8
818,34.56666667,0.1
819,25.0136,58.595
820,25.68,58.73
821,114.1166667,22.7
822,115.25,-29.86666667
823,-72.1922,42.5345
824,107.39,33.42
825,109.7091,38.3265
826,112.8333333,22.66666667
827,127.5,45.35
828,-118.7483,36.5547
829,-75.91666667,78.88333333
830,-72.16666667,42.5
831,13.21666667,56.55
832,19.45,64.11666667
833,13.13,56.33
834,135.8333333,34.78333333
835,102.3,2.966666667
836,29.58333333,67.76666667
837,30.58,62.47
838,19.05,68.36666667
839,-14.88333333,12.81666667
840,-15.66666667,13.75
841,101.2666667,21.91666667
842,40.57,64.55
843,-61.72,-16.12
844,-96.5,36.93
845,-101.53,35.3
846,-104.77,40.82
847,-96.5,36.95
848,-0.1326,52.1359
849,-79.09,35.97
850,-79.9299,43.5081
851,16.7472,49.2921
852,-89.42,43.04
853,-81.61275,39.79
854,-4.42,57.44
855,-4.45,57.22
856,-149.7166667,68.63333333
857,-79.8877,44.1505
858,-79.8585,44.499
859,-79.3291,44.1401
860,-79.1224,44.1575
861,-79.4334,46.0013
862,-78.5031,44.0767
863,-79.1235,44.1615
864,-80.0603,44.2544
865,-80.3619,44.4707
866,-80.319,42.9218
867,-80.317,42.9214
868,-79.8589,44.5017
869,-80.3611,44.4722
870,-80.0663,44.253
871,-79.3371,44.1432
872,-79.4316,45.9969
873,-79.8869,44.151
874,-74.5089,39.8879
875,-74.5152,39.9174
876,-74.5007,39.9049
877,-77.4824,39.8263
878,-122.3,47.29
879,-81.3,41.61
880,10.29,51.23
881,10.01,51.29
882,11.25,51.2
883,9.44,51.19
884,10.02,51.57
885,11.26,51.19
886,9.39,51.32
887,10.27,51.32
888,10.52,51.24
889,11.27,51.1
890,9.26,51.44
891,9.36,51.48
892,9.4,51.42
893,11.25,51.22
894,10.504746,51.09561
895,10.23,51.05
896,-113.0355,38.3371
897,-112.3958,40.6503
898,-112.3411,40.6169
899,-47.15,-23.91666667
